"year","university","research_total","endowment_value_fiscal_year_end","total_expenses","total_salaries"
"2015","100654","8695370.0","","152235000.0","53828200.0"
"2015","100663","263499000.0","405337000.0","2508240000.0","1064560000.0"
"2015","100690","0.0","174805.0","8064960.0","3496070.0"
"2015","100706","73230600.0","70066700.0","210197000.0","113063000.0"
"2015","100724","2783180.0","86192600.0","143365000.0","53630700.0"
"2015","100733","0.0","","18096800.0","10965000.0"
"2015","100751","59670300.0","658673000.0","930367000.0","422150000.0"
"2015","100760","0.0","342669.0","23676100.0","8909860.0"
"2015","100812","0.0","3072900.0","32395200.0","16510000.0"
"2015","100830","418332.0","44107800.0","88595800.0","40482200.0"
"2015","100858","130105000.0","583049000.0","877157000.0","408905000.0"
"2015","100937","0.0","61011100.0","46698900.0","18287800.0"
"2015","101028","0.0","159974.0","15638300.0","6404420.0"
"2015","101073","0.0","1494050.0","11817300.0","2771670.0"
"2015","101116","0.0","","11025400.0","3956570.0"
"2015","101143","0.0","915525.0","18884200.0","8527800.0"
"2015","101161","0.0","","32317100.0","13143400.0"
"2015","101189","0.0","18222300.0","43302300.0","19079300.0"
"2015","101240","0.0","2863550.0","47986800.0","25049800.0"
"2015","101277","0.0","","","383736.0"
"2015","101286","0.0","128519.0","38479800.0","17865000.0"
"2015","101295","0.0","","49637800.0","17942000.0"
"2015","101301","0.0","","21824200.0","9062350.0"
"2015","101365","0.0","","4081980.0","1721450.0"
"2015","101435","0.0","48278600.0","20715400.0","9466490.0"
"2015","101453","56094.0","9673420.0","3080140.0","1296390.0"
"2015","101462","0.0","","14170200.0","5831340.0"
"2015","101471","0.0","","13979100.0","7686940.0"
"2015","101480","3308540.0","12215900.0","119926000.0","50771700.0"
"2015","101499","0.0","322853.0","11699400.0","5288860.0"
"2015","101505","0.0","1233280.0","48042000.0","23360300.0"
"2015","101514","0.0","8981870.0","61963900.0","25933800.0"
"2015","101541","0.0","15369600.0","9724330.0","4485070.0"
"2015","101569","0.0","585275.0","37160200.0","15222000.0"
"2015","101587","574535.0","423193.0","58499200.0","17407900.0"
"2015","101602","0.0","","16857100.0","8214600.0"
"2015","101648","0.0","3118920.0","13168600.0","5280010.0"
"2015","101675","0.0","19081000.0","28787600.0","11264300.0"
"2015","101693","0.0","21797100.0","29100100.0","10834600.0"
"2015","101709","37449.0","19052500.0","62107500.0","27726700.0"
"2015","101736","0.0","733311.0","31157400.0","14258900.0"
"2015","101879","74927.0","28616700.0","98265400.0","46282600.0"
"2015","101897","0.0","61251.0","22232400.0","9523110.0"
"2015","101912","822670.0","12667600.0","52220000.0","15937500.0"
"2015","101949","0.0","","17439300.0","7770670.0"
"2015","101958","0.0","","2988190.0","759352.0"
"2015","101994","0.0","","7643220.0","4025640.0"
"2015","102030","0.0","150797.0","33357700.0","15718000.0"
"2015","102049","0.0","319250000.0","152407000.0","66046400.0"
"2015","102058","0.0","","2990880.0","1686110.0"
"2015","102067","0.0","","44230900.0","19650100.0"
"2015","102076","0.0","2406000.0","18533600.0","7227680.0"
"2015","102094","29912000.0","135804000.0","695156000.0","340231000.0"
"2015","102234","0.0","21572300.0","43394000.0","14027900.0"
"2015","102261","0.0","1514320.0","2707010.0","1124210.0"
"2015","102270","0.0","16981200.0","23027500.0","7303750.0"
"2015","102298","0.0","3472100.0","16238500.0","6062700.0"
"2015","102313","0.0","","18965700.0","8306580.0"
"2015","102368","326888.0","85533100.0","244487000.0","102834000.0"
"2015","102377","24508000.0","119962000.0","154067000.0","31943000.0"
"2015","102395","271996.0","1000000.0","5758720.0","2759900.0"
"2015","102429","0.0","148610.0","40793900.0","18939400.0"
"2015","102553","17434200.0","51883700.0","316680000.0","145686000.0"
"2015","102580","0.0","48721.0","1163310.0","227505.0"
"2015","102614","139601000.0","88764400.0","404516000.0","184823000.0"
"2015","102632","1387720.0","4575860.0","51600300.0","26030000.0"
"2015","102669","1283540.0","88911400.0","17125300.0","7696090.0"
"2015","102711","0.0","","","5205420.0"
"2015","102845","0.0","","48105200.0","15579900.0"
"2015","103501","0.0","","5644680.0","2672250.0"
"2015","103529","0.0","231296000.0","61226400.0","20322900.0"
"2015","103723","0.0","","9211980.0","1784840.0"
"2015","103741","0.0","","","440283.0"
"2015","103778","1382000.0","","49920000.0","19646000.0"
"2015","103787","0.0","5000.0","1943320.0","731378.0"
"2015","103811","0.0","","","3677920.0"
"2015","103893","0.0","","","2561090.0"
"2015","103909","0.0","","","4046170.0"
"2015","103927","0.0","","","1655800.0"
"2015","103945","0.0","","4064460.0","873388.0"
"2015","103954","0.0","","","517987.0"
"2015","103963","0.0","","","3914740.0"
"2015","104090","0.0","","35435200.0","15272800.0"
"2015","104151","278535000.0","643188000.0","2025050000.0","830440000.0"
"2015","104160","0.0","1890220.0","67517100.0","29482000.0"
"2015","104179","476545000.0","767940000.0","1847920000.0","840986000.0"
"2015","104188","0.0","","6622880.0","4365210.0"
"2015","104346","0.0","4062940.0","67350500.0","24997000.0"
"2015","104364","0.0","","8687180.0","3260200.0"
"2015","104391","0.0","","","313890.0"
"2015","104425","0.0","8304450.0","46495400.0","20833200.0"
"2015","104434","0.0","","","210982.0"
"2015","104443","0.0","","","370717.0"
"2015","104504","0.0","","","540117.0"
"2015","104568","0.0","","","1068580.0"
"2015","104577","0.0","","44471800.0","20575600.0"
"2015","104586","840240.0","26213000.0","","25145000.0"
"2015","104665","0.0","","","689628.0"
"2015","104708","0.0","","","56973300.0"
"2015","104717","0.0","","580273000.0","243023000.0"
"2015","104911","0.0","","","694039.0"
"2015","105136","0.0","60374600.0","871327000.0","37613500.0"
"2015","105145","0.0","","","29504300.0"
"2015","105154","0.0","","","67814200.0"
"2015","105163","0.0","","5088350.0","1531240.0"
"2015","105172","0.0","","5996450.0","2071640.0"
"2015","105206","0.0","2468240.0","37003500.0","16632400.0"
"2015","105215","0.0","","","9578000.0"
"2015","105297","548872.0","6470220.0","31340300.0","10734900.0"
"2015","105330","30587600.0","144211000.0","513619000.0","227126000.0"
"2015","105349","0.0","12414.0","29533600.0","13979500.0"
"2015","105428","0.0","","","38188800.0"
"2015","105482","0.0","","","573414.0"
"2015","105525","0.0","4961780.0","199356000.0","100614000.0"
"2015","105534","0.0","","17520500.0","7161500.0"
"2015","105543","0.0","","10755000.0","4476770.0"
"2015","105589","0.0","1491220.0","14812900.0","6503010.0"
"2015","105659","0.0","","8877270.0","2466110.0"
"2015","105668","0.0","","","47238100.0"
"2015","105677","0.0","","","550809.0"
"2015","105701","0.0","","","118547.0"
"2015","105747","0.0","","","34660700.0"
"2015","105792","0.0","","","17959700.0"
"2015","105899","0.0","1896180.0","14408300.0","5443580.0"
"2015","105987","0.0","","","1871800.0"
"2015","106041","0.0","","40637000.0","12565000.0"
"2015","106102","0.0","","25665900.0","10901100.0"
"2015","106111","0.0","","","427966.0"
"2015","106148","0.0","10206100.0","61764700.0","26657400.0"
"2015","106245","13891400.0","68891100.0","191993000.0","92898600.0"
"2015","106263","124385000.0","32632000.0","1352490000.0","709559000.0"
"2015","106281","0.0","","","126442.0"
"2015","106306","0.0","","19333800.0","8533860.0"
"2015","106315","0.0","","","143076.0"
"2015","106324","0.0","","","84509.0"
"2015","106342","0.0","45031600.0","20484600.0","6264610.0"
"2015","106351","0.0","","","525295.0"
"2015","106360","0.0","","","139874.0"
"2015","106397","133355000.0","948679000.0","767907000.0","338014000.0"
"2015","106412","7494290.0","3460590.0","74397600.0","31681100.0"
"2015","106449","0.0","592087.0","32454200.0","15055000.0"
"2015","106458","10558600.0","54168400.0","202930000.0","90011500.0"
"2015","106467","1527550.0","23243800.0","128680000.0","51095900.0"
"2015","106485","442918.0","2965240.0","49033400.0","20332700.0"
"2015","106494","0.0","","","449344.0"
"2015","106546","0.0","2500000.0","","5569840.0"
"2015","106625","0.0","","20407400.0","8028480.0"
"2015","106704","3569710.0","28458800.0","184364000.0","80080200.0"
"2015","106713","0.0","2764070.0","10289500.0","4434730.0"
"2015","106795","0.0","78317.0","12772600.0","5776030.0"
"2015","106810","0.0","1324490.0","2520120.0","1170130.0"
"2015","106829","0.0","","","2457300.0"
"2015","106883","0.0","288226.0","12996400.0","5761490.0"
"2015","106892","0.0","","","1774750.0"
"2015","106908","0.0","","","1359440.0"
"2015","106980","0.0","1257140.0","27671600.0","11567900.0"
"2015","106999","0.0","","13046600.0","5675980.0"
"2015","107044","0.0","118044000.0","121210000.0","48833200.0"
"2015","107071","101288.0","16592900.0","58389300.0","24795400.0"
"2015","107080","832008.0","185541000.0","55740100.0","22373800.0"
"2015","107099","0.0","","","225462.0"
"2015","107123","0.0","","","819740.0"
"2015","107141","177203.0","100980000.0","50142100.0","22231200.0"
"2015","107211","0.0","","","213513.0"
"2015","107220","0.0","","","1400550.0"
"2015","107293","0.0","","","496342.0"
"2015","107318","0.0","2571470.0","25203800.0","8834320.0"
"2015","107327","0.0","3536540.0","19236100.0","8836140.0"
"2015","107363","0.0","","","165152.0"
"2015","107442","0.0","","","146584.0"
"2015","107460","36536.0","4364180.0","21967000.0","8926460.0"
"2015","107488","0.0","","","3538410.0"
"2015","107512","243188.0","89156000.0","41606500.0","11699100.0"
"2015","107521","0.0","","12320200.0","5863210.0"
"2015","107549","0.0","1603520.0","12762900.0","5439100.0"
"2015","107558","0.0","98341100.0","19718700.0","7720500.0"
"2015","107585","0.0","50000.0","17218200.0","7764820.0"
"2015","107600","0.0","10947300.0","17484700.0","6286230.0"
"2015","107619","0.0","","21891900.0","10040400.0"
"2015","107637","0.0","553162.0","17006300.0","6925660.0"
"2015","107655","0.0","","","106486.0"
"2015","107664","0.0","1257770.0","58113300.0","24623100.0"
"2015","107725","0.0","2240220.0","14123100.0","5585980.0"
"2015","107743","0.0","2358390.0","10548200.0","4180530.0"
"2015","107789","0.0","","","402485.0"
"2015","107831","0.0","","","282568.0"
"2015","107840","0.0","79851.0","2818040.0","1626840.0"
"2015","107877","0.0","12862400.0","8480490.0","3324120.0"
"2015","107974","0.0","1192990.0","18203800.0","8189410.0"
"2015","107983","339730.0","3557980.0","51785700.0","23561000.0"
"2015","107992","0.0","1708590.0","16864600.0","7653050.0"
"2015","108056","0.0","","185961000.0","5482370.0"
"2015","108065","0.0","","","88318.0"
"2015","108092","0.0","79334100.0","76633200.0","34595700.0"
"2015","108232","0.0","","294991000.0","103084000.0"
"2015","108250","0.0","","7052500.0","3042040.0"
"2015","108269","0.0","","1869750.0","1785760.0"
"2015","108348","0.0","","","288987.0"
"2015","108649","0.0","","","757666.0"
"2015","108667","0.0","","","15461700.0"
"2015","108807","391848.0","20155100.0","94745900.0","41571500.0"
"2015","108852","0.0","1710100.0","6673380.0","3438640.0"
"2015","108861","0.0","5326840.0","2714020.0","1097690.0"
"2015","108870","0.0","12099500.0","32031000.0","12833800.0"
"2015","108977","0.0","","","156653.0"
"2015","109040","0.0","","66543900.0","25799800.0"
"2015","109086","0.0","24971500.0","22879600.0","10223600.0"
"2015","109208","0.0","","","76977200.0"
"2015","109350","959668.0","2735030.0","119069000.0","46121800.0"
"2015","109651","0.0","87010000.0","110374000.0","39363000.0"
"2015","109721","0.0","","","1450050.0"
"2015","109730","0.0","","","762709.0"
"2015","109785","0.0","60728800.0","238377000.0","116187000.0"
"2015","109819","0.0","","196888000.0","50820400.0"
"2015","109907","169882.0","392144.0","20708500.0","10472000.0"
"2015","109934","0.0","","","1963970.0"
"2015","110060","0.0","","4224030.0","1695720.0"
"2015","110097","2632000.0","119980000.0","152760000.0","71487500.0"
"2015","110185","0.0","","17134500.0","6168070.0"
"2015","110194","0.0","","","1161740.0"
"2015","110219","0.0","","19396000.0","9736280.0"
"2015","110246","0.0","2336040.0","137561000.0","47177800.0"
"2015","110307","19260.0","19268.0","7148260.0","4063540.0"
"2015","110316","0.0","1387570.0","23830300.0","13767500.0"
"2015","110334","0.0","18159300.0","106173000.0","42882200.0"
"2015","110361","0.0","16087600.0","154880000.0","61624000.0"
"2015","110370","0.0","33020000.0","64494000.0","33718000.0"
"2015","110398","0.0","39843100.0","59547900.0","28472000.0"
"2015","110404","252677000.0","2078950000.0","2417640000.0","284522000.0"
"2015","110413","0.0","92938100.0","106828000.0","50525800.0"
"2015","110422","2758480.0","198700000.0","411224000.0","172642000.0"
"2015","110468","101869.0","","68747100.0","35502700.0"
"2015","110486","285263.0","19773800.0","136315000.0","59015300.0"
"2015","110495","1286030.0","12114200.0","146534000.0","61991000.0"
"2015","110501","360332.0","13937000.0","478964000.0","53380700.0"
"2015","110510","613386.0","24600900.0","265623000.0","116382000.0"
"2015","110529","1518080.0","90215800.0","323655000.0","141243000.0"
"2015","110538","1325500.0","36966300.0","256114000.0","111809000.0"
"2015","110547","0.0","14122400.0","195549000.0","84464800.0"
"2015","110556","5286810.0","156993000.0","318384000.0","137455000.0"
"2015","110565","1200240.0","52645600.0","518977000.0","218318000.0"
"2015","110574","1836920.0","10690800.0","240123000.0","106210000.0"
"2015","110583","1110630.0","57190900.0","479660000.0","223313000.0"
"2015","110592","2401340.0","23474400.0","324340000.0","139880000.0"
"2015","110608","7387840.0","89715600.0","516452000.0","221733000.0"
"2015","110617","1327470.0","34136400.0","408443000.0","170653000.0"
"2015","110635","668475000.0","1834400000.0","","1173890000.0"
"2015","110644","619365000.0","380039000.0","","1932230000.0"
"2015","110653","304996000.0","355889000.0","","1151030000.0"
"2015","110662","853991000.0","2328470000.0","","3050050000.0"
"2015","110671","134228000.0","141459000.0","","348507000.0"
"2015","110680","902675000.0","719883000.0","","1822440000.0"
"2015","110699","966102000.0","1426200000.0","","2274410000.0"
"2015","110705","198398000.0","167632000.0","","449357000.0"
"2015","110714","137044000.0","88166000.0","","305819000.0"
"2015","110778","114459.0","","6629310.0","3223930.0"
"2015","110875","0.0","","","426665.0"
"2015","110918","0.0","102995.0","464004.0","246396.0"
"2015","111009","0.0","","19959400.0","2372850.0"
"2015","111054","0.0","","","999122.0"
"2015","111081","0.0","139561000.0","61750100.0","35253900.0"
"2015","111188","4623880.0","6742230.0","56280500.0","21536300.0"
"2015","111391","0.0","23819200.0","27921700.0","15199900.0"
"2015","111434","0.0","","46761100.0","22990300.0"
"2015","111461","0.0","1719560.0","146379000.0","64157600.0"
"2015","111513","0.0","","","859788.0"
"2015","111638","0.0","","7211240.0","4257610.0"
"2015","111708","0.0","","","653111.0"
"2015","111717","0.0","","","1432240.0"
"2015","111726","0.0","","","960006.0"
"2015","111744","0.0","","","584502.0"
"2015","111762","0.0","","","460053.0"
"2015","111799","0.0","","","224967.0"
"2015","111887","644793.0","","167981000.0","69570400.0"
"2015","111896","0.0","","","14115400.0"
"2015","111920","0.0","","119124000.0","42651400.0"
"2015","111939","0.0","","144339000.0","63259200.0"
"2015","111948","4718110.0","301272000.0","252205000.0","121272000.0"
"2015","111966","13846100.0","83034400.0","47984300.0","22212400.0"
"2015","112075","0.0","19603900.0","65915800.0","30821700.0"
