"year","university","retention_rate_pt","retention_rate_ft"
"2016","205090","",""
"2016","439057","",""
"2016","100654","31.0","58.0"
"2016","100663","43.0","82.0"
"2016","100690","0.0","9.0"
"2016","100706","55.0","83.0"
"2016","100724","38.0","63.0"
"2016","100751","40.0","86.0"
"2016","100760","35.0","62.0"
"2016","100812","",""
"2016","100830","48.0","67.0"
"2016","100858","75.0","91.0"
"2016","100937","","82.0"
"2016","101028","38.0","51.0"
"2016","101073","31.0","48.0"
"2016","101116","0.0","25.0"
"2016","101143","23.0","55.0"
"2016","101161","39.0","50.0"
"2016","101189","53.0","54.0"
"2016","101240","43.0","57.0"
"2016","101277","50.0","87.0"
"2016","101286","49.0","61.0"
"2016","101295","49.0","65.0"
"2016","101301","28.0","56.0"
"2016","101365","100.0",""
"2016","101435","","62.0"
"2016","101453","","67.0"
"2016","101462","34.0","36.0"
"2016","101471","67.0","79.0"
"2016","101480","46.0","78.0"
"2016","101499","59.0","53.0"
"2016","101505","41.0","57.0"
"2016","101514","44.0","63.0"
"2016","101541","","68.0"
"2016","101569","36.0","51.0"
"2016","101587","67.0","66.0"
"2016","101602","38.0","65.0"
"2016","101648","","39.0"
"2016","101675","100.0","56.0"
"2016","101693","100.0","71.0"
"2016","101709","50.0","73.0"
"2016","101736","27.0","61.0"
"2016","101879","64.0","75.0"
"2016","101897","53.0","64.0"
"2016","101912","","74.0"
"2016","101949","31.0","63.0"
"2016","101958","",""
"2016","101994","50.0","46.0"
"2016","102030","21.0","47.0"
"2016","102049","","89.0"
"2016","102058","0.0","67.0"
"2016","102067","42.0","65.0"
"2016","102076","27.0","61.0"
"2016","102094","52.0","73.0"
"2016","102234","","76.0"
"2016","102261","0.0","67.0"
"2016","102270","0.0","40.0"
"2016","102298","67.0","57.0"
"2016","102313","48.0","62.0"
"2016","102368","40.0","74.0"
"2016","102377","100.0","70.0"
"2016","102395","",""
"2016","102429","52.0","60.0"
"2016","102553","48.0","70.0"
"2016","102580","","67.0"
"2016","102614","50.0","75.0"
"2016","102632","62.0","56.0"
"2016","102669","0.0","51.0"
"2016","102711","100.0","94.0"
"2016","102845","","71.0"
"2016","103501","","72.0"
"2016","103741","33.0","65.0"
"2016","103811","",""
"2016","103893","","70.0"
"2016","103909","","71.0"
"2016","103927","","74.0"
"2016","103945","","100.0"
"2016","103954","","100.0"
"2016","103963","","63.0"
"2016","104090","","57.0"
"2016","104151","37.0","86.0"
"2016","104160","45.0","68.0"
"2016","104179","64.0","80.0"
"2016","104188","","83.0"
"2016","104346","32.0","49.0"
"2016","104364","",""
"2016","104391","","89.0"
"2016","104425","38.0","63.0"
"2016","104434","","70.0"
"2016","104443","83.0","35.0"
"2016","104504","77.0","83.0"
"2016","104568","81.0","95.0"
"2016","104577","46.0","54.0"
"2016","104586","50.0","84.0"
"2016","104708","45.0","66.0"
"2016","104717","37.0","66.0"
"2016","104911","","55.0"
"2016","105145","37.0","56.0"
"2016","105154","42.0","62.0"
"2016","105206","39.0","47.0"
"2016","105215","","84.0"
"2016","105297","",""
"2016","105330","55.0","76.0"
"2016","105349","21.0","44.0"
"2016","105367","",""
"2016","105428","46.0","63.0"
"2016","105482","",""
"2016","105525","40.0","64.0"
"2016","105534","","44.0"
"2016","105543","","67.0"
"2016","105589","","71.0"
"2016","105659","","74.0"
"2016","105668","27.0","33.0"
"2016","105677","",""
"2016","105701","","31.0"
"2016","105747","48.0","64.0"
"2016","105792","41.0","59.0"
"2016","105899","","62.0"
"2016","105987","","72.0"
"2016","106041","","78.0"
"2016","106102","","75.0"
"2016","106111","38.0","53.0"
"2016","106148","44.0","63.0"
"2016","106245","35.0","68.0"
"2016","106263","",""
"2016","106306","0.0","44.0"
"2016","106315","0.0","53.0"
"2016","106324","","73.0"
"2016","106342","","66.0"
"2016","106351","","50.0"
"2016","106360","","53.0"
"2016","106397","59.0","82.0"
"2016","106412","15.0","70.0"
"2016","106449","31.0","57.0"
"2016","106458","51.0","75.0"
"2016","106467","53.0","69.0"
"2016","106485","20.0","52.0"
"2016","106494","","58.0"
"2016","106546","","40.0"
"2016","106625","50.0","64.0"
"2016","106704","57.0","73.0"
"2016","106713","50.0","75.0"
"2016","106795","43.0","80.0"
"2016","106810","","53.0"
"2016","106829","71.0","46.0"
"2016","106883","48.0","53.0"
"2016","106892","",""
"2016","106908","","73.0"
"2016","106980","36.0","55.0"
"2016","106999","67.0","62.0"
"2016","107044","0.0","82.0"
"2016","107071","8.0","60.0"
"2016","107080","","87.0"
"2016","107099","","82.0"
"2016","107123","",""
"2016","107141","","85.0"
"2016","107211","","50.0"
"2016","107220","","85.0"
"2016","107293","","67.0"
"2016","107318","44.0","46.0"
"2016","107327","43.0","65.0"
"2016","107442","","81.0"
"2016","107460","51.0","61.0"
"2016","107488","25.0","39.0"
"2016","107512","","81.0"
"2016","107521","26.0","55.0"
"2016","107549","35.0","57.0"
"2016","107558","100.0","73.0"
"2016","107585","45.0","52.0"
"2016","107600","25.0","69.0"
"2016","107619","38.0","63.0"
"2016","107637","37.0","52.0"
"2016","107655","","83.0"
"2016","107664","43.0","56.0"
"2016","107725","34.0","64.0"
"2016","107743","58.0","57.0"
"2016","107789","75.0","86.0"
"2016","107831","","33.0"
"2016","107840","14.0","26.0"
"2016","107877","","49.0"
"2016","107974","30.0","57.0"
"2016","107983","64.0","66.0"
"2016","107992","50.0","72.0"
"2016","108065","100.0","83.0"
"2016","108092","31.0","65.0"
"2016","108232","37.0","71.0"
"2016","108348","","92.0"
"2016","108649","83.0","73.0"
"2016","108667","33.0","64.0"
"2016","108807","47.0","74.0"
"2016","108852","","61.0"
"2016","108977","100.0","100.0"
"2016","109040","","73.0"
"2016","109086","",""
"2016","109208","43.0","72.0"
"2016","109350","",""
"2016","109651","","81.0"
"2016","109721","","61.0"
"2016","109730","",""
"2016","109785","50.0","86.0"
"2016","109819","",""
"2016","109907","39.0","63.0"
"2016","109934","","83.0"
"2016","110060","33.0","49.0"
"2016","110097","50.0","84.0"
"2016","110194","","97.0"
"2016","110219","","48.0"
"2016","110246","49.0","66.0"
"2016","110316","",""
"2016","110334","49.0","73.0"
"2016","110361","53.0","76.0"
"2016","110370","","81.0"
"2016","110404","","98.0"
"2016","110413","","85.0"
"2016","110422","87.0","95.0"
"2016","110468","","36.0"
"2016","110486","47.0","76.0"
"2016","110495","52.0","85.0"
"2016","110510","49.0","85.0"
"2016","110529","73.0","89.0"
"2016","110538","44.0","86.0"
"2016","110547","44.0","82.0"
"2016","110556","47.0","79.0"
"2016","110565","65.0","89.0"
"2016","110574","61.0","77.0"
"2016","110583","78.0","90.0"
"2016","110592","48.0","79.0"
"2016","110608","53.0","77.0"
"2016","110617","60.0","81.0"
"2016","110635","83.0","97.0"
"2016","110644","78.0","93.0"
"2016","110653","70.0","92.0"
"2016","110662","63.0","97.0"
"2016","110671","64.0","91.0"
"2016","110680","83.0","95.0"
"2016","110705","57.0","93.0"
"2016","110714","38.0","90.0"
"2016","110778","",""
"2016","110875","","86.0"
"2016","110918","",""
"2016","111009","",""
"2016","111054","","78.0"
"2016","111081","","89.0"
"2016","111188","33.0","85.0"
"2016","111434","34.0","70.0"
"2016","111461","55.0","76.0"
"2016","111513","92.0","86.0"
"2016","111638","","67.0"
"2016","111708","60.0","80.0"
"2016","111717","","79.0"
"2016","111726","","94.0"
"2016","111744","","83.0"
"2016","111762","","91.0"
"2016","111799","","53.0"
"2016","111887","55.0","72.0"
"2016","111896","29.0","59.0"
"2016","111920","49.0","75.0"
"2016","111939","58.0","73.0"
"2016","111948","100.0","89.0"
"2016","111966","",""
"2016","112075","","78.0"
"2016","112084","25.0","68.0"
"2016","112172","55.0","68.0"
"2016","112181","","85.0"
"2016","112190","37.0","72.0"
"2016","112260","","93.0"
"2016","112288","","81.0"
"2016","112367","54.0","55.0"
"2016","112385","31.0","53.0"
"2016","112394","33.0","77.0"
"2016","112446","","41.0"
"2016","112455","","82.0"
"2016","112561","39.0","60.0"
"2016","112570","100.0","84.0"
"2016","112686","38.0","62.0"
"2016","112826","39.0","68.0"
"2016","113096","47.0","70.0"
"2016","113111","46.0","74.0"
"2016","113193","38.0","66.0"
"2016","113218","45.0","72.0"
"2016","113236","55.0","77.0"
"2016","113333","48.0","78.0"
"2016","113449","","86.0"
"2016","113537","",""
"2016","113573","59.0","75.0"
"2016","113582","67.0","71.0"
"2016","113634","55.0","79.0"
"2016","113698","","86.0"
"2016","113856","41.0","73.0"
"2016","113980","53.0","77.0"
"2016","114044","",""
"2016","114123","",""
"2016","114266","49.0","79.0"
"2016","114354","100.0","93.0"
"2016","114390","100.0","96.0"
"2016","114415","100.0","87.0"
"2016","114433","",""
"2016","114460","88.0","88.0"
"2016","114628","",""
"2016","114637","","100.0"
"2016","114716","",""
"2016","114761","","75.0"
"2016","114789","39.0","65.0"
"2016","114813","","86.0"
"2016","114859","54.0","75.0"
"2016","114938","39.0","77.0"
"2016","114947","",""
"2016","115001","43.0","75.0"
"2016","115010","","90.0"
"2016","115083","",""
"2016","115126","51.0","69.0"
"2016","115296","55.0","68.0"
"2016","115357","","88.0"
"2016","115393","26.0","76.0"
"2016","115409","","98.0"
"2016","115658","69.0","100.0"
"2016","115728","","74.0"
"2016","115755","35.0","71.0"
"2016","115773","","88.0"
"2016","115861","54.0","73.0"
"2016","115931","","78.0"
"2016","116226","67.0","33.0"
"2016","116350","","75.0"
"2016","116439","51.0","78.0"
"2016","116563","","88.0"
"2016","116712","",""
"2016","116846","0.0","88.0"
"2016","117052","43.0","65.0"
"2016","117104","","72.0"
"2016","117113","39.0","63.0"
"2016","117140","25.0","88.0"
"2016","117168","100.0","85.0"
"2016","117195","24.0","45.0"
"2016","117238","","88.0"
"2016","117247","35.0","61.0"
"2016","117274","10.0","52.0"
"2016","117557","","75.0"
"2016","117575","100.0",""
"2016","117627","43.0","76.0"
"2016","117636","",""
"2016","117645","48.0","71.0"
"2016","117672","",""
"2016","117690","46.0","72.0"
"2016","117706","52.0","73.0"
"2016","117715","37.0","59.0"
"2016","117724","35.0","65.0"
"2016","117733","48.0","72.0"
"2016","117751","","88.0"
"2016","117788","35.0","65.0"
"2016","117803","",""
"2016","117867","41.0","70.0"
"2016","117894","53.0","74.0"
"2016","117928","43.0","48.0"
"2016","117946","","88.0"
"2016","117955","","81.0"
"2016","118134","80.0","80.0"
"2016","118143","100.0","60.0"
"2016","118161","","94.0"
"2016","118189","","84.0"
"2016","118198","","84.0"
"2016","118259","","82.0"
"2016","118277","","86.0"
"2016","118286","","88.0"
"2016","118347","34.0","68.0"
"2016","118541","100.0","62.0"
"2016","118684","44.0","62.0"
"2016","118693","","78.0"
"2016","118718","50.0","70.0"
"2016","118772","30.0","54.0"
"2016","118888","100.0","78.0"
"2016","118912","42.0","68.0"
"2016","118930","38.0","70.0"
"2016","118958","","86.0"
"2016","118967","","81.0"
"2016","118976","",""
"2016","118994","","100.0"
"2016","119058","",""
"2016","119067","28.0","69.0"
"2016","119137","53.0","77.0"
"2016","119164","62.0","78.0"
"2016","119173","0.0","79.0"
"2016","119216","55.0","69.0"
"2016","119270","100.0","77.0"
"2016","119331","46.0","79.0"
"2016","119553","","88.0"
"2016","119605","51.0","75.0"
"2016","119775","0.0","71.0"
"2016","119845","83.0","85.0"
"2016","119951","","75.0"
"2016","120069","","67.0"
"2016","120078","","72.0"
"2016","120087","","61.0"
"2016","120184","100.0","83.0"
"2016","120254","0.0","91.0"
"2016","120272","","86.0"
"2016","120290","26.0","79.0"
"2016","120342","52.0","73.0"
"2016","120403","","80.0"
"2016","120421","48.0","73.0"
"2016","120537","33.0","67.0"
"2016","120661","","75.0"
"2016","120698","",""
"2016","120768","",""
"2016","120838","","100.0"
"2016","120865","0.0","77.0"
"2016","120883","50.0","82.0"
"2016","120953","20.0","69.0"
"2016","120971","46.0","72.0"
"2016","121044","53.0","78.0"
"2016","121150","","90.0"
"2016","121257","","94.0"
"2016","121275","",""
"2016","121309","","86.0"
"2016","121345","","97.0"
"2016","121363","40.0","72.0"
"2016","121433","","76.0"
"2016","121619","",""
"2016","121637","","50.0"
"2016","121691","","82.0"
"2016","121707","42.0","54.0"
"2016","121859","0.0","95.0"
"2016","121868","","71.0"
"2016","121886","",""
"2016","121901","47.0","71.0"
"2016","121983","50.0","100.0"
"2016","121992","88.0","95.0"
"2016","122117","",""
"2016","122180","24.0","64.0"
"2016","122205","49.0","76.0"
"2016","122296","",""
"2016","122339","40.0","64.0"
"2016","122366","0.0","72.0"
"2016","122375","",""
"2016","122384","45.0","69.0"
"2016","122409","77.0","89.0"
"2016","122436","0.0","87.0"
"2016","122454","0.0","49.0"
"2016","122506","","100.0"
"2016","122597","53.0","80.0"
"2016","122612","0.0","86.0"
"2016","122658","52.0","78.0"
"2016","122685","","61.0"
"2016","122728","100.0","76.0"
"2016","122746","40.0","59.0"
"2016","122755","72.0","87.0"
"2016","122791","48.0","73.0"
"2016","122834","",""
"2016","122852","",""
"2016","122889","42.0","57.0"
"2016","122931","100.0","96.0"
"2016","122977","",""
"2016","123013","43.0","73.0"
"2016","123165","","92.0"
"2016","123217","48.0","67.0"
"2016","123280","","100.0"
"2016","123299","",""
"2016","123341","51.0","70.0"
"2016","123350","","82.0"
"2016","123457","","82.0"
"2016","123484","26.0","51.0"
"2016","123493","","89.0"
"2016","123509","",""
"2016","123527","48.0","63.0"
"2016","123554","","86.0"
"2016","123563","45.0","73.0"
"2016","123572","37.0","80.0"
"2016","123633","",""
"2016","123642","40.0","75.0"
"2016","123651","0.0","75.0"
"2016","123679","","75.0"
"2016","123800","51.0","73.0"
"2016","123952","","81.0"
"2016","123961","0.0","96.0"
"2016","124113","13.0","68.0"
"2016","124292","","92.0"
"2016","124487","33.0","50.0"
"2016","124681","","79.0"
"2016","124706","","80.0"
"2016","124779","","100.0"
"2016","124937","","64.0"
"2016","125028","46.0","71.0"
"2016","125091","50.0","67.0"
"2016","125170","29.0","57.0"
"2016","125231","19.0",""
"2016","125310","","100.0"
"2016","125462","32.0","66.0"
"2016","125471","",""
"2016","125499","44.0","77.0"
"2016","125532","73.0","57.0"
"2016","125727","","82.0"
"2016","125763","","76.0"
