"year","university","tuition_and_fees","total_expenses"
"2015","100654","44478131.0","152235000.0"
"2015","100663","169724524.0","2508240000.0"
"2015","100690","6709019.0","8064960.0"
"2015","100706","53743262.0","210197000.0"
"2015","100724","42073093.0","143365000.0"
"2015","100733","0.0","18096800.0"
"2015","100751","452717202.0","930367000.0"
"2015","100760","3554902.0","23676100.0"
"2015","100812","15052317.0","32395200.0"
"2015","100830","32598385.0","88595800.0"
"2015","100858","363014113.0","877157000.0"
"2015","100937","13929733.0","46698900.0"
"2015","101028","2657361.0","15638300.0"
"2015","101073","3483392.0","11817300.0"
"2015","101116","7517792.0","11025400.0"
"2015","101143","3514450.0","18884200.0"
"2015","101161","9608181.0","32317100.0"
"2015","101189","35163700.0","43302300.0"
"2015","101240","4092621.0","47986800.0"
"2015","101277","708888.0",""
"2015","101286","7465009.0","38479800.0"
"2015","101295","12606687.0","49637800.0"
"2015","101301","1912617.0","21824200.0"
"2015","101365","3787123.0","4081980.0"
"2015","101435","10909207.0","20715400.0"
"2015","101453","581286.0","3080140.0"
"2015","101462","1229380.0","14170200.0"
"2015","101471","8748.0","13979100.0"
"2015","101480","44967901.0","119926000.0"
"2015","101499","1048569.0","11699400.0"
"2015","101505","15981547.0","48042000.0"
"2015","101514","23342526.0","61963900.0"
"2015","101541","2480141.0","9724330.0"
"2015","101569","2992576.0","37160200.0"
"2015","101587","24335850.0","58499200.0"
"2015","101602","2220245.0","16857100.0"
"2015","101648","1299594.0","13168600.0"
"2015","101675","8439251.0","28787600.0"
"2015","101693","13986371.0","29100100.0"
"2015","101709","22116321.0","62107500.0"
"2015","101736","5522343.0","31157400.0"
"2015","101879","39242816.0","98265400.0"
"2015","101897","3846598.0","22232400.0"
"2015","101912","21950604.0","52220000.0"
"2015","101949","1886877.0","17439300.0"
"2015","101958","1162678.0","2988190.0"
"2015","101994","754694.0","7643220.0"
"2015","102030","3856841.0","33357700.0"
"2015","102049","94369913.0","152407000.0"
"2015","102058","1943399.0","2990880.0"
"2015","102067","8069656.0","44230900.0"
"2015","102076","4810950.0","18533600.0"
"2015","102094","120265000.0","695156000.0"
"2015","102234","16435965.0","43394000.0"
"2015","102261","1506505.0","2707010.0"
"2015","102270","8233417.0","23027500.0"
"2015","102298","7498477.0","16238500.0"
"2015","102313","3115527.0","18965700.0"
"2015","102368","125218775.0","244487000.0"
"2015","102377","42545389.0","154067000.0"
"2015","102395","4847555.0","5758720.0"
"2015","102429","5598620.0","40793900.0"
"2015","102553","72727989.0","316680000.0"
"2015","102580","194121.0","1163310.0"
"2015","102614","42410936.0","404516000.0"
"2015","102632","11114774.0","51600300.0"
"2015","102669","5781208.0","17125300.0"
"2015","102711","1398873.0",""
"2015","102845","54673626.0","48105200.0"
"2015","103501","5770887.0","5644680.0"
