,year,university,tuition_and_fees,total_expenses
5147,2015,439969,2266306.0,2196950.0
759,2015,134811,43237206.0,56378100.0
5516,2015,447847,10671004.0,10803000.0
5451,2015,446446,965507.0,
5691,2015,451060,5290849.0,5236270.0
4689,2015,408844,34594758.0,32020200.0
711,2015,132806,41835.0,
2803,2015,201399,3064148.0,3551590.0
2949,2015,205179,21368308.0,22742300.0
3872,2015,233329,4439036.0,5901680.0
4425,2015,371052,4575982.0,4558500.0
4441,2015,372921,8680564.0,8729840.0
4544,2015,382957,6662730.0,7052050.0
4592,2015,392415,3752640.0,5407530.0
5068,2015,436641,1394735.0,
5133,2015,439738,5594396.0,5266620.0
5137,2015,439792,4882969.0,5155710.0
5491,2015,447360,2479810.0,4829720.0
5638,2015,450058,10023943.0,9412750.0
5639,2015,450067,6497414.0,7326480.0
5747,2015,451909,7520446.0,7398940.0
5858,2015,455460,2315326.0,
5860,2015,455488,4300974.0,3481980.0
5906,2015,456180,3899277.0,5599330.0
5921,2015,456454,5523326.0,6259800.0
6044,2015,458681,3329875.0,4142890.0
6133,2015,460020,6778108.0,6469590.0
6360,2015,475130,3782485.0,3811280.0
6501,2015,480143,3786885.0,4912040.0
6901,2015,487302,7146208.0,7412620.0
747,2015,134237,373775538.0,300582000.0
6214,2015,461281,310288.0,1598020.0
751,2015,134422,493599.0,1076090.0
6266,2015,461883,1511737.0,1648980.0
4627,2015,404338,8249077.0,10079900.0
4922,2015,428170,22761943.0,43525200.0
5297,2015,443270,3578433.0,
4922,2015,428170,22761943.0,43525200.0
5297,2015,443270,3578433.0,
4359,2015,366553,20079603.0,21579900.0
5605,2015,449524,3120572.0,3395720.0
