Tuition_bin,Expense_bin,Salaries_bin,Grants_bin
low,low,low,low
high,standard,standard,high
high,standard,medium,low
low,,low,low
medium,medium,low,medium
high,standard,standard,high
low,,low,low
medium,medium,low,medium
high,standard,standard,standard
medium,medium,low,medium
medium,medium,low,medium
high,standard,medium,medium
standard,standard,medium,medium
medium,medium,low,medium
low,,low,low
medium,medium,low,medium
medium,medium,low,medium
low,medium,low,low
high,standard,medium,medium
standard,standard,medium,medium
standard,standard,medium,medium
low,,low,medium
medium,medium,low,medium
medium,medium,low,medium
medium,standard,medium,medium
medium,medium,low,medium
standard,standard,medium,medium
medium,medium,low,medium
medium,medium,low,medium
standard,standard,medium,medium
,high,high,high
low,low,low,low
low,low,low,low
low,low,low,low
high,standard,low,low
high,standard,standard,standard
medium,,low,low
high,standard,standard,standard
medium,,low,low
high,standard,standard,standard
medium,medium,low,low
,high,,
