College,Location
Acupuncture and Massage College,"Miami, Florida"
AI Miami International University of Art and Design,"Miami, Florida"
American InterContinental University South Florida,"Weston, Florida"
Aviator College of Aeronautical Science and Technology,"Fort Pierce, Florida"
Brown Mackie College Miami,"Miami, Florida"
CBT College Cutler Bay,"Cutler Bay, Florida"
Centura Institute,"Orlando, Florida"
Chamberlain College of Nursing Florida,"Jacksonville, Florida"
College of Business and Technology Flagler,"Miami, Florida"
College of Business and Technology Hialeah,"Hialeah, Florida"
College of Business and Technology Kendall,"Miami, Florida"
DeVry University Florida,"Miramar, Florida"
Digital Media Arts College,"Boca Raton, Florida"
Florida Career College Clearwater,"Clearwater, Florida"
Florida Career College Miami,"Miami, Florida"
Florida National University,"Hialeah, Florida"
Fortis College,"Orange Park, Florida"
Fortis College Largo,"Largo, Florida"
Fortis College Miami,"Miami, Florida"
Fortis College Tampa,"Tampa, Florida"
Fortis College Winter Park,"Winter Park, Florida"
Fortis Institute Pensacola,"Pensacola, Florida"
Full Sail University,"Winter Park, Florida"
Golf Academy of America Altamonte Springs,"Apopka, Florida"
Jose Maria Vargas University,"Pembroke Pines, Florida"
Key College,"Dania Beach, Florida"
Lincoln College of Technology West Palm Beach,"West Palm Beach, Florida"
Medvance Institute Fort Lauderdale,"Lauderdale Lakes, Florida"
Medvance Institute Miami,"Miami, Florida"
Medvance Institute West Palm,"Palm Springs, Florida"
Miami Ad School Miami Beach,"Miami Beach, Florida"
Millennia Atlantic University,"Doral, Florida"
Schiller International University,"Largo, Florida"
Southeastern College,"Greenacres, Florida"
Southeastern College,"Jacksonville, Florida"
Southwest Florida College,"Fort Myers, Florida"
Stenotype Institute of Jacksonville Inc Jacksonville,"Jacksonville, Florida"
Stenotype Institute of Jacksonville Inc Orlando,"Orlando, Florida"
Taylor College,"Belleview, Florida"
University of Phoenix Central Florida Campus,"Maitland, Florida"
University of Phoenix North Florida Campus,"Jacksonville, Florida"
University of Phoenix South Florida Campus,"Plantation, Florida"
University of Phoenix West Florida Campus,"Temple Terrace, Florida"
Virginia College Jacksonville,"Jacksonville, Florida"
Virginia College Pensacola,"Pensacola, Florida"
