university,tuition_and_fees,pell_grants,total_expenses,total_salaries,retention_rate_ft
101958,1162678,318908,2988190,759352,
102845,54673626,13407300,48105200,15579900,71
103741,1096232,509583,,440283,65
103893,8636657,2743000,,2561090,70
103909,10319940,2734850,,4046170,71
119775,9430000,1006000,15910000,6058880,71
103927,5069785,1755930,,1655800,74
104090,36350550,8958740,35435200,15272800,57
104717,622351153,101841000,580273000,243023000,66
105534,17607512,3974030,17520500,7161500,44
105543,9074415,3163580,10755000,4476770,61
122685,68659032,24893000,91504800,39347800,67
106102,6556285,1434010,25665900,10901100,
147165,5927054,1358160,6371940,3224540,75
106315,308334,141471,,143076,53
108232,277386567,15905600,294991000,103084000,
122852,3503169,1032550,,1298390,71
108348,794642,228087,,288987,92
110194,1531062,602962,,1161740,
173489,1844480,603917,2776370,1365030,97
123341,12486949,23644000,139304000,56442200,70
110219,19254526,5993210,19396000,9736280,48
147749,11157290,3781670,17546200,8562780,0
112394,8463746,1329520,11242500,6432810,77
127680,2368919,701490,,733143,
112561,922023,2999610,,10854300,60
114354,107970319,6063300,108794000,57420600,93
127699,2358270,322374,,1150060,91
150251,2618472,579971,2510860,1845970,84
118189,256907,514093,,531714,84
173629,42915857,6707920,52195900,17894600,75
127945,13211308,2389930,24781800,8510190,43
118198,9250182,2891550,8062380,4056530,80
119605,215095368,17676300,218156000,94420500,74
128674,36465315,11487100,,10450700,58
151166,63883577,14859000,83565900,19927200,59
128683,10927331,1912350,13211800,5431880,56
174279,46576971,6523810,50222000,19300300,38
151519,56444212,16780200,55977200,16173200,
130183,89124923,20035700,94270400,34852100,
130873,4280914,1831100,,2631280,90
193308,111060898,27399100,104962000,51600800,
151944,3046455,1575050,5943770,1968820,25
131159,374483000,5636000,491363000,232669000,50
174385,2950467,923038,,932119,
131803,14488456,2119670,13476900,2776070,56
153409,3525871,1074880,2560750,825441,67
134112,35823667,17988800,57708200,22259800,24
193858,5349101,1519820,,2586120,100
134149,9763909,3694260,5934880,1865490,82
153418,7561441,2065950,5792030,2428510,83
175014,68996536,10685500,62315200,25138200,
134237,373775538,53263100,300582000,128679000,0
154022,581403000,191977000,517707000,177884000,65
134422,493599,181333,1076090,678082,70
176053,52763770,4410850,78567400,35485800,100
136066,10080561,3681190,,3182960,
197081,3004761,853831,4376340,1072520,60
154101,13813579,1377470,28966200,11155100,55
138309,70343385,15273600,66357600,25898700,33
139214,2321027,577744,2502960,986506,41
154208,1943091,610053,,1021900,58
176062,434955,193592,,233300,81
146393,18155000,2529000,33038000,12870000,
197285,20879990,4446650,21053600,11360700,85
154518,10563121,2452350,15386400,6959030,50
146676,9509882,3350060,18392700,8541310,
177065,90529687,37496000,91808900,50934900,73
154794,1756140,371724,11134200,683015,64
198978,40373311,17207100,40615100,2033500,57
157766,6470738,1673140,9171390,4835090,17
177302,12839539,4747250,13481000,5179390,0
217323,5801884,1541810,,2491050,68
157793,67207258,8881750,62357100,26458500,81
178183,690916,690916,2180750,823067,
200013,10524521,1757530,11223600,3933720,91
158246,3136784,949190,,919214,29
178989,6892141,188080,11521400,3440540,86
160940,12686340,3896930,9318660,3477040,68
217749,32127304,4822020,111337000,38294200,
200785,4463266,1606450,4497130,1584450,0
162681,12244630,2798210,9431530,3350000,
180595,13463749,1331290,22801500,10263100,23
164216,34471457,898121,67210700,25716100,69
201016,16837937,5308310,17562900,7315970,
217934,14994461,2688440,26983100,10831400,100
181242,8565339,2183300,5995760,2619240,55
164438,8721622,844631,11171200,5392300,100
181400,10903164,2986720,8574170,3376890,100
164641,17317844,2594760,18038100,8020780,
203386,30094000,7234020,28098000,11352000,71
219204,14991445,4926950,97892600,11765700,70
182661,11308568,1050990,15292000,5987300,33
172866,1480562,244430,1704790,564248,
205179,21368308,6834760,22742300,8596260,30
182865,15770405,3647530,26156000,11022500,36
219213,6523638,1885050,,1769590,72
237996,6859760,2609780,5926460,2635900,
205887,9329485,2901530,11933700,3469300,62
182980,19555498,3888320,29715300,11465000,
220002,1853674,467506,18425300,1060600,100
183789,64328672,13455400,66440200,34455000,
206224,2590740,940679,2538610,1217660,72
240392,43956844,10592700,40266200,15620900,86
188146,9182000,1526000,24380000,8185000,60
220552,34340008,2316400,31824600,14666300,
206394,2855452,569141,2660980,1450020,
189228,89890723,14818000,90194400,35377800,65
242972,8458435,13800800,65669000,30312500,58
221795,2909335,612985,3107010,2920590,
207254,20872859,2212570,27100300,8331060,58
189459,32062277,6952110,34687500,12084000,53
193201,12353255,7821170,24105200,9963490,
207537,347648,90565,,279015,49
222886,2002419,773599,,1378490,40
247065,10636656,3236340,21541600,7199960,52
208512,4271476,774690,4168720,2721440,55
223083,5784670,1068530,8681690,5398400,53
369516,5457277,1271500,,2752460,78
247700,6073685,2052860,,1584520,25
208965,9152202,2118820,7150900,2830090,
224439,33349399,7254840,16781300,10151300,73
369862,4956636,2190900,6841790,854942,92
248882,3996475,1144340,,742223,56
210960,14532641,3682370,29456500,8723250,67
226903,4776167,1349010,,2292880,86
211477,19041388,3115690,19562700,9310990,
248934,190148194,37145700,154457000,70440300,6
