,year,university,tuition_and_fees,pell_grants,total_expenses,total_salaries
45,2015,101958,1162678.0,318908.0,2988190.0,759352.0
68,2015,102845,54673626.0,13407300.0,48105200.0,15579900.0
72,2015,103741,1096232.0,509583.0,,440283.0
76,2015,103893,8636657.0,2743000.0,,2561090.0
77,2015,103909,10319940.0,2734850.0,,4046170.0
78,2015,103927,5069785.0,1755930.0,,1655800.0
82,2015,104090,36350550.0,8958740.0,35435200.0,15272800.0
99,2015,104717,622351153.0,101841000.0,580273000.0,243023000.0
114,2015,105534,17607512.0,3974030.0,17520500.0,7161500.0
115,2015,105543,9074415.0,3163580.0,10755000.0,4476770.0
126,2015,106102,6556285.0,1434010.0,25665900.0,10901100.0
133,2015,106315,308334.0,141471.0,,143076.0
194,2015,108232,277386567.0,15905600.0,294991000.0,103084000.0
197,2015,108348,794642.0,228087.0,,288987.0
219,2015,110194,1531062.0,602962.0,,1161740.0
220,2015,110219,19254526.0,5993210.0,19396000.0,9736280.0
291,2015,112394,8463746.0,1329520.0,11242500.0,6432810.0
295,2015,112561,922023.0,2999610.0,,10854300.0
319,2015,114354,107970319.0,6063300.0,108794000.0,57420600.0
395,2015,118189,256907.0,514093.0,,531714.0
396,2015,118198,9250182.0,2891550.0,8062380.0,4056530.0
422,2015,119605,215095368.0,17676300.0,218156000.0,94420500.0
423,2015,119775,9430000.0,1006000.0,15910000.0,6058880.0
487,2015,122685,68659032.0,24893000.0,91504800.0,39347800.0
495,2015,122852,3503169.0,1032550.0,,1298390.0
505,2015,123341,12486949.0,23644000.0,139304000.0,56442200.0
599,2015,127680,2368919.0,701490.0,,733143.0
600,2015,127699,2358270.0,322374.0,,1150060.0
611,2015,127945,13211308.0,2389930.0,24781800.0,8510190.0
626,2015,128674,36465315.0,11487100.0,,10450700.0
627,2015,128683,10927331.0,1912350.0,13211800.0,5431880.0
660,2015,130183,89124923.0,20035700.0,94270400.0,34852100.0
678,2015,130873,4280914.0,1831100.0,,2631280.0
687,2015,131159,374483000.0,5636000.0,491363000.0,232669000.0
696,2015,131803,14488456.0,2119670.0,13476900.0,2776070.0
743,2015,134112,35823667.0,17988800.0,57708200.0,22259800.0
745,2015,134149,9763909.0,3694260.0,5934880.0,1865490.0
