Tuition_Quantile,Expense_Quantile,Salaries_Quantile,Grants_Quantile,Retention_Quantile
tuition_low,expense_low,salaries_low,grants_low,
tuition_high,expense_high,salaries_high,grants_high,retention_standard
tuition_low,,salaries_low,grants_low,retention_medium
tuition_standard,,salaries_medium,grants_standard,retention_standard
tuition_standard,,salaries_standard,grants_standard,retention_standard
tuition_standard,expense_standard,salaries_standard,grants_medium,retention_standard
tuition_medium,,salaries_medium,grants_standard,retention_standard
tuition_high,expense_high,salaries_high,grants_high,retention_medium
tuition_high,expense_high,salaries_high,grants_high,retention_medium
tuition_high,expense_standard,salaries_standard,grants_high,retention_low
tuition_standard,expense_medium,salaries_standard,grants_standard,retention_medium
tuition_high,expense_high,salaries_high,grants_high,retention_standard
tuition_medium,expense_standard,salaries_high,grants_medium,
tuition_medium,expense_medium,salaries_standard,grants_medium,retention_standard
tuition_low,,salaries_low,grants_low,retention_medium
tuition_high,expense_high,salaries_high,grants_high,
tuition_medium,,salaries_medium,grants_medium,retention_standard
tuition_low,,salaries_low,grants_low,retention_high
tuition_low,,salaries_medium,grants_low,
tuition_low,expense_low,salaries_medium,grants_low,retention_high
tuition_standard,expense_high,salaries_high,grants_high,retention_standard
tuition_high,expense_standard,salaries_high,grants_high,retention_medium
tuition_standard,expense_standard,salaries_high,grants_standard,retention_low
tuition_standard,expense_standard,salaries_standard,grants_medium,retention_standard
tuition_low,,salaries_low,grants_medium,
tuition_low,,salaries_high,grants_standard,retention_medium
tuition_high,expense_high,salaries_high,grants_high,retention_high
tuition_low,,salaries_medium,grants_low,retention_high
tuition_low,expense_low,salaries_medium,grants_low,retention_high
tuition_low,,salaries_low,grants_low,retention_high
tuition_high,expense_high,salaries_high,grants_high,retention_standard
tuition_standard,expense_standard,salaries_high,grants_standard,retention_low
tuition_standard,expense_medium,salaries_standard,grants_standard,retention_high
tuition_high,expense_high,salaries_high,grants_high,retention_standard
tuition_high,,salaries_high,grants_high,retention_medium
tuition_high,expense_high,salaries_high,grants_high,retention_medium
tuition_standard,expense_standard,salaries_standard,grants_standard,retention_medium
tuition_high,expense_high,salaries_high,grants_high,retention_low
tuition_high,expense_high,salaries_high,grants_high,
tuition_high,expense_high,salaries_high,grants_high,
tuition_medium,,salaries_medium,grants_standard,retention_high
tuition_high,expense_high,salaries_high,grants_high,
tuition_medium,expense_medium,salaries_medium,grants_medium,retention_low
tuition_high,expense_high,salaries_high,grants_high,retention_medium
tuition_medium,,salaries_low,grants_medium,
tuition_standard,expense_standard,salaries_medium,grants_standard,retention_medium
tuition_medium,expense_low,salaries_low,grants_medium,retention_standard
tuition_high,expense_high,salaries_high,grants_high,retention_low
tuition_medium,,salaries_medium,grants_medium,retention_high
tuition_standard,expense_medium,salaries_medium,grants_standard,retention_high
tuition_standard,expense_medium,salaries_medium,grants_standard,retention_high
tuition_high,expense_high,salaries_high,grants_high,
tuition_high,expense_high,salaries_high,grants_high,retention_low
tuition_high,expense_high,salaries_high,grants_high,retention_medium
tuition_low,expense_low,salaries_low,grants_low,retention_standard
tuition_high,expense_high,salaries_high,grants_high,retention_high
tuition_standard,,salaries_standard,grants_standard,
tuition_medium,expense_low,salaries_medium,grants_medium,retention_medium
tuition_standard,expense_standard,salaries_high,grants_medium,retention_medium
tuition_high,expense_high,salaries_high,grants_high,retention_low
tuition_low,expense_low,salaries_low,grants_low,retention_low
tuition_low,,salaries_low,grants_low,retention_medium
tuition_low,,salaries_low,grants_low,retention_high
tuition_high,expense_high,salaries_high,grants_standard,
tuition_high,expense_standard,salaries_high,grants_high,retention_high
tuition_standard,expense_standard,salaries_standard,grants_standard,retention_medium
tuition_standard,expense_standard,salaries_high,grants_standard,
tuition_high,expense_high,salaries_high,grants_high,retention_standard
tuition_low,expense_medium,salaries_low,grants_low,retention_medium
tuition_high,expense_high,salaries_medium,grants_high,retention_medium
tuition_medium,expense_medium,salaries_standard,grants_standard,retention_low
tuition_standard,expense_standard,salaries_standard,grants_high,retention_low
tuition_medium,,salaries_medium,grants_medium,retention_standard
tuition_high,expense_high,salaries_high,grants_high,retention_high
tuition_low,expense_low,salaries_low,grants_low,
tuition_standard,expense_standard,salaries_standard,grants_standard,retention_high
tuition_medium,,salaries_low,grants_medium,retention_low
tuition_standard,expense_standard,salaries_standard,grants_low,retention_high
tuition_standard,expense_medium,salaries_standard,grants_standard,retention_standard
tuition_high,expense_high,salaries_high,grants_high,
tuition_medium,expense_low,salaries_medium,grants_medium,retention_low
tuition_standard,expense_medium,salaries_standard,grants_standard,
tuition_standard,expense_standard,salaries_high,grants_medium,retention_low
tuition_high,expense_high,salaries_high,grants_medium,retention_standard
tuition_standard,expense_standard,salaries_standard,grants_high,
tuition_standard,expense_standard,salaries_high,grants_standard,retention_high
tuition_standard,expense_medium,salaries_medium,grants_standard,retention_medium
tuition_standard,expense_medium,salaries_standard,grants_medium,retention_high
tuition_standard,expense_medium,salaries_standard,grants_standard,retention_high
tuition_high,expense_standard,salaries_standard,grants_standard,
tuition_high,expense_standard,salaries_high,grants_high,retention_standard
tuition_standard,expense_high,salaries_high,grants_high,retention_standard
tuition_standard,expense_standard,salaries_standard,grants_medium,retention_low
tuition_low,expense_low,salaries_low,grants_low,
tuition_high,expense_standard,salaries_high,grants_high,retention_low
tuition_standard,expense_standard,salaries_high,grants_standard,retention_low
tuition_medium,,salaries_medium,grants_standard,retention_standard
tuition_standard,expense_medium,salaries_medium,grants_standard,
tuition_standard,expense_standard,salaries_standard,grants_standard,retention_medium
tuition_high,expense_standard,salaries_high,grants_standard,
tuition_low,expense_standard,salaries_low,grants_low,retention_high
tuition_high,expense_high,salaries_high,grants_high,
tuition_low,expense_low,salaries_medium,grants_medium,retention_standard
tuition_high,expense_high,salaries_high,grants_high,retention_high
tuition_standard,expense_standard,salaries_standard,grants_medium,retention_medium
tuition_high,expense_high,salaries_high,grants_standard,
tuition_medium,expense_low,salaries_medium,grants_low,
tuition_high,expense_high,salaries_high,grants_high,retention_medium
tuition_standard,expense_high,salaries_high,grants_high,retention_medium
