index,year,university,retention_rate_ft
46,2016,101958,
69,2016,102845,71
71,2016,103741,65
73,2016,103893,70
74,2016,103909,71
386,2016,119775,71
75,2016,103927,74
79,2016,104090,57
95,2016,104717,66
108,2016,105534,44
441,2016,122685,61
109,2016,105543,67
967,2016,147165,
120,2016,106102,75
126,2016,106315,53
447,2016,122852,
185,2016,108232,71
186,2016,108348,92
1698,2016,173489,
205,2016,110194,97
456,2016,123341,70
206,2016,110219,48
981,2016,147749,0
269,2016,112394,77
531,2016,127680,
272,2016,112561,60
293,2016,114354,93
1039,2016,150251,91
358,2016,118189,84
359,2016,118198,84
385,2016,119605,75
1058,2016,151166,43
2260,2016,193308,80
2270,2016,193858,74
542,2016,127945,58
556,2016,128674,59
557,2016,128683,56
589,2016,130183,38
1080,2016,151944,
605,2016,130873,
613,2016,131159,90
1127,2016,153409,
620,2016,131803,25
664,2016,134112,50
1128,2016,153418,
666,2016,134149,56
668,2016,134237,67
1154,2016,154022,24
672,2016,134422,100
1157,2016,154101,82
703,2016,136066,83
1729,2016,174385,
754,2016,138309,0
1162,2016,154208,65
2372,2016,197285,70
782,2016,139214,100
1751,2016,175014,
1174,2016,154518,60
945,2016,146393,55
1187,2016,154794,33
956,2016,146676,41
2449,2016,198978,58
1785,2016,176053,81
1296,2016,157766,
1786,2016,176062,85
2510,2016,200013,50
1297,2016,157793,
3093,2016,217323,73
1304,2016,158246,64
1811,2016,177065,57
2538,2016,200785,17
1369,2016,160940,0
1819,2016,177302,68
3111,2016,217749,81
1420,2016,162681,
1844,2016,178183,91
2543,2016,201016,29
1456,2016,164216,86
3123,2016,217934,68
1869,2016,178989,
1460,2016,164438,0
2613,2016,203386,
1470,2016,164641,23
1917,2016,180595,69
3176,2016,219204,
1679,2016,172866,100
2690,2016,205179,55
1935,2016,181242,100
1942,2016,181400,100
3177,2016,219213,
2700,2016,205887,71
3708,2016,237996,70
2710,2016,206224,33
3213,2016,220002,
3767,2016,240392,30
2715,2016,206394,36
3232,2016,220552,72
2748,2016,207254,
3836,2016,242972,62
3275,2016,221795,
2763,2016,207537,100
3903,2016,247065,
3296,2016,222886,72
2798,2016,208512,86
1977,2016,182980,60
3301,2016,223083,
3909,2016,247700,
2003,2016,183789,65
2103,2016,188146,58
3923,2016,248882,
2129,2016,189228,58
2866,2016,210960,53
2136,2016,189459,
3925,2016,248934,49
2255,2016,193201,40
2885,2016,211477,52
3379,2016,226903,55
3935,2016,250902,53
2889,2016,211617,78
3471,2016,230056,25
4069,2016,369516,
3010,2016,214892,73
3480,2016,230366,92
4074,2016,369862,56
3030,2016,215415,67
3504,2016,230977,86
4085,2016,372073,
3940,2016,260293,6
4309,2016,407328,65
3530,2016,232016,
4105,2016,374574,74
3946,2016,260691,70
3554,2016,232797,
4335,2016,408844,83
4134,2016,375984,44
3949,2016,260901,33
3583,2016,233684,54
4138,2016,376321,
3950,2016,260910,
3602,2016,234401,37
3964,2016,262332,
3683,2016,237437,44
4359,2016,413413,50
4153,2016,377458,73
3691,2016,237598,62
3975,2016,363439,
4158,2016,377652,61
3697,2016,237783,46
3983,2016,363934,52
