"year","university","tuition_and_fees","total_expenses","total_salaries"
"2015","100654","44478131.0","152235000.0","53828200.0"
"2015","100663","169724524.0","2508240000.0","1064560000.0"
"2015","100690","6709019.0","8064960.0","3496070.0"
"2015","100706","53743262.0","210197000.0","113063000.0"
"2015","100724","42073093.0","143365000.0","53630700.0"
"2015","100733","0.0","18096800.0","10965000.0"
"2015","100751","452717202.0","930367000.0","422150000.0"
"2015","100760","3554902.0","23676100.0","8909860.0"
"2015","100812","15052317.0","32395200.0","16510000.0"
"2015","100830","32598385.0","88595800.0","40482200.0"
"2015","100858","363014113.0","877157000.0","408905000.0"
"2015","100937","13929733.0","46698900.0","18287800.0"
"2015","101028","2657361.0","15638300.0","6404420.0"
"2015","101073","3483392.0","11817300.0","2771670.0"
"2015","101116","7517792.0","11025400.0","3956570.0"
"2015","101143","3514450.0","18884200.0","8527800.0"
"2015","101161","9608181.0","32317100.0","13143400.0"
"2015","101189","35163700.0","43302300.0","19079300.0"
"2015","101240","4092621.0","47986800.0","25049800.0"
"2015","101277","708888.0","","383736.0"
"2015","101286","7465009.0","38479800.0","17865000.0"
"2015","101295","12606687.0","49637800.0","17942000.0"
"2015","101301","1912617.0","21824200.0","9062350.0"
"2015","101365","3787123.0","4081980.0","1721450.0"
"2015","101435","10909207.0","20715400.0","9466490.0"
"2015","101453","581286.0","3080140.0","1296390.0"
"2015","101462","1229380.0","14170200.0","5831340.0"
"2015","101471","8748.0","13979100.0","7686940.0"
"2015","101480","44967901.0","119926000.0","50771700.0"
"2015","101499","1048569.0","11699400.0","5288860.0"
"2015","101505","15981547.0","48042000.0","23360300.0"
"2015","101514","23342526.0","61963900.0","25933800.0"
"2015","101541","2480141.0","9724330.0","4485070.0"
"2015","101569","2992576.0","37160200.0","15222000.0"
"2015","101587","24335850.0","58499200.0","17407900.0"
"2015","101602","2220245.0","16857100.0","8214600.0"
"2015","101648","1299594.0","13168600.0","5280010.0"
"2015","101675","8439251.0","28787600.0","11264300.0"
"2015","101693","13986371.0","29100100.0","10834600.0"
"2015","101709","22116321.0","62107500.0","27726700.0"
"2015","101736","5522343.0","31157400.0","14258900.0"
"2015","101879","39242816.0","98265400.0","46282600.0"
"2015","101897","3846598.0","22232400.0","9523110.0"
"2015","101912","21950604.0","52220000.0","15937500.0"
"2015","101949","1886877.0","17439300.0","7770670.0"
"2015","101958","1162678.0","2988190.0","759352.0"
"2015","101994","754694.0","7643220.0","4025640.0"
"2015","102030","3856841.0","33357700.0","15718000.0"
"2015","102049","94369913.0","152407000.0","66046400.0"
"2015","102058","1943399.0","2990880.0","1686110.0"
"2015","102067","8069656.0","44230900.0","19650100.0"
"2015","102076","4810950.0","18533600.0","7227680.0"
"2015","102094","120265000.0","695156000.0","340231000.0"
"2015","102234","16435965.0","43394000.0","14027900.0"
"2015","102261","1506505.0","2707010.0","1124210.0"
"2015","102270","8233417.0","23027500.0","7303750.0"
"2015","102298","7498477.0","16238500.0","6062700.0"
"2015","102313","3115527.0","18965700.0","8306580.0"
"2015","102368","125218775.0","244487000.0","102834000.0"
"2015","102377","42545389.0","154067000.0","31943000.0"
"2015","102395","4847555.0","5758720.0","2759900.0"
"2015","102429","5598620.0","40793900.0","18939400.0"
"2015","102553","72727989.0","316680000.0","145686000.0"
"2015","102580","194121.0","1163310.0","227505.0"
"2015","102614","42410936.0","404516000.0","184823000.0"
"2015","102632","11114774.0","51600300.0","26030000.0"
"2015","102669","5781208.0","17125300.0","7696090.0"
"2015","102711","1398873.0","","5205420.0"
"2015","102845","54673626.0","48105200.0","15579900.0"
"2015","103501","5770887.0","5644680.0","2672250.0"
"2015","103529","1523270.0","61226400.0","20322900.0"
"2015","103723","2420484.0","9211980.0","1784840.0"
"2015","103741","1096232.0","","440283.0"
"2015","103778","41769000.0","49920000.0","19646000.0"
"2015","103787","336442.0","1943320.0","731378.0"
"2015","103811","7239394.0","","3677920.0"
"2015","103893","8636657.0","","2561090.0"
"2015","103909","10319940.0","","4046170.0"
"2015","103927","5069785.0","","1655800.0"
"2015","103945","4026221.0","4064460.0","873388.0"
"2015","103954","420033.0","","517987.0"
"2015","103963","11017410.0","","3914740.0"
"2015","104090","36350550.0","35435200.0","15272800.0"
"2015","104151","1021014000.0","2025050000.0","830440000.0"
"2015","104160","3902496.0","67517100.0","29482000.0"
"2015","104179","554768000.0","1847920000.0","840986000.0"
"2015","104188","6698642.0","6622880.0","4365210.0"
"2015","104346","5393072.0","67350500.0","24997000.0"
"2015","104364","5270308.0","8687180.0","3260200.0"
"2015","104391","608052.0","","313890.0"
"2015","104425","5818553.0","46495400.0","20833200.0"
"2015","104434","594237.0","","210982.0"
"2015","104443","853367.0","","370717.0"
"2015","104504","1152443.0","","540117.0"
"2015","104568","4087737.0","","1068580.0"
